n,g,rand_cut,rand_time,local_cut,local_time,opt_cut,opt_time,qaoa_gamma,qaoa_beta,qaoa_analytic_val,qaoa_opt_time,qaoa_sampled_expectation,qaoa_best_cut,qaoa_counts,qaoa_sim_time,qaoa_total_time,qaoa_shots,qc_job,qc_prep_time,qc_run_time,qc_best_cut,qc_total_time,repeat,qc_entropy_bits
51,<lib.graphlib.GraphLib object at 0x0000015263CEB020>,2515,0.8310697078704834,2352,0.015596151351928711,,,,,,,,,,,,,,,,,,2,
51,<lib.graphlib.GraphLib object at 0x0000015263D27980>,2381,0.7972099781036377,2276,0.016476869583129883,,,,,,,,,,,,,,,,,,3,
51,<lib.graphlib.GraphLib object at 0x0000015263D27F70>,2405,0.8415048122406006,2232,0.014773368835449219,,,,,,,,,,,,,,,,,,4,
54,<lib.graphlib.GraphLib object at 0x0000015263D25310>,2878,0.906069278717041,2648,0.01989603042602539,,,,,,,,,,,,,"<RuntimeJobV2('d45si8563mfc73a7dik0', 'sampler')>",7.542678117752075,2.412026,2292,9.954704117752076,0,11.999999999999996
54,<lib.graphlib.GraphLib object at 0x0000015262BAE6C0>,2797,0.676837682723999,2574,0.022187232971191406,,,,,,,,,,,,,,,,,,1,
54,<lib.graphlib.GraphLib object at 0x0000015262BAE850>,2626,0.7255551815032959,2624,0.017438888549804688,,,,,,,,,,,,,,,,,,2,
54,<lib.graphlib.GraphLib object at 0x0000015262B0C0A0>,2659,0.8948245048522949,2486,0.018265962600708008,,,,,,,,,,,,,,,,,,3,
54,<lib.graphlib.GraphLib object at 0x0000015262B0F930>,2694,0.8074235916137695,2523,0.02806234359741211,,,,,,,,,,,,,,,,,,4,
57,<lib.graphlib.GraphLib object at 0x0000015262B0E6C0>,3021,0.9066817760467529,2747,0.03305935859680176,,,,,,,,,,,,,"<RuntimeJobV2('d45sibl63mfc73a7dio0', 'sampler')>",7.695635795593262,2.395073,2451,10.090708795593262,0,11.999999999999996
57,<lib.graphlib.GraphLib object at 0x00000152635BD720>,2841,0.8822834491729736,2523,0.016276121139526367,,,,,,,,,,,,,,,,,,1,
57,<lib.graphlib.GraphLib object at 0x00000152629B1E00>,2907,1.0372164249420166,2519,0.0240786075592041,,,,,,,,,,,,,,,,,,2,
57,<lib.graphlib.GraphLib object at 0x0000015263D243C0>,2724,0.9032890796661377,2656,0.02533411979675293,,,,,,,,,,,,,,,,,,3,
57,<lib.graphlib.GraphLib object at 0x0000015263D24AA0>,2888,1.0285234451293945,2797,0.04122328758239746,,,,,,,,,,,,,,,,,,4,
60,<lib.graphlib.GraphLib object at 0x0000015263D277A0>,3271,1.0588624477386475,3123,0.052567243576049805,,,,,,,,,,,,,"<RuntimeJobV2('d45sift63mfc73a7dirg', 'sampler')>",9.637417554855347,2.464066,2737,12.101483554855346,0,11.999999999999996
60,<lib.graphlib.GraphLib object at 0x00000152635B3390>,3350,1.0924217700958252,3163,0.05670166015625,,,,,,,,,,,,,,,,,,1,
60,<lib.graphlib.GraphLib object at 0x00000152635B3020>,3225,1.26300048828125,2915,0.04157829284667969,,,,,,,,,,,,,,,,,,2,
60,<lib.graphlib.GraphLib object at 0x0000015263D24C30>,3222,1.195584774017334,2934,0.0243222713470459,,,,,,,,,,,,,,,,,,3,
60,<lib.graphlib.GraphLib object at 0x00000152629B1540>,3220,1.111051321029663,2937,0.06625962257385254,,,,,,,,,,,,,,,,,,4,
63,<lib.graphlib.GraphLib object at 0x00000152629B05F0>,3746,1.5498683452606201,3555,0.027324438095092773,,,,,,,,,,,,,"<RuntimeJobV2('d45sik6jf4ms73ap4660', 'sampler')>",9.465471744537354,2.434336,3318,11.899807744537354,0,11.999999999999996
63,<lib.graphlib.GraphLib object at 0x0000015262787110>,3657,1.1526846885681152,3308,0.04793190956115723,,,,,,,,,,,,,,,,,,1,
63,<lib.graphlib.GraphLib object at 0x00000152629B3390>,3250,1.24037504196167,3055,0.0403439998626709,,,,,,,,,,,,,,,,,,2,
63,<lib.graphlib.GraphLib object at 0x0000015263D26BC0>,3537,1.2595453262329102,3291,0.04477858543395996,,,,,,,,,,,,,,,,,,3,
63,<lib.graphlib.GraphLib object at 0x00000152629B2AD0>,3606,1.2773957252502441,3152,0.04760599136352539,,,,,,,,,,,,,,,,,,4,
66,<lib.graphlib.GraphLib object at 0x0000015262BF3D40>,3704,1.435218334197998,3439,0.043729543685913086,,,,,,,,,,,,,"<RuntimeJobV2('d45siol63mfc73a7dj50', 'sampler')>",9.61197304725647,2.705897,3087,12.31787004725647,0,11.999999999999996
66,<lib.graphlib.GraphLib object at 0x00000152635B2DF0>,3622,1.0643210411071777,3381,0.0449371337890625,,,,,,,,,,,,,,,,,,1,
66,<lib.graphlib.GraphLib object at 0x00000152629B1E50>,3645,1.2746469974517822,3490,0.06313228607177734,,,,,,,,,,,,,,,,,,2,
66,<lib.graphlib.GraphLib object at 0x00000152627849B0>,3965,1.320732593536377,3743,0.059622764587402344,,,,,,,,,,,,,,,,,,3,
66,<lib.graphlib.GraphLib object at 0x0000015262787340>,4049,1.4491362571716309,3706,0.0390317440032959,,,,,,,,,,,,,,,,,,4,
69,<lib.graphlib.GraphLib object at 0x0000015262787F70>,4109,1.4805870056152344,3776,0.052594661712646484,,,,,,,,,,,,,"<RuntimeJobV2('d45sitmjf4ms73ap46fg', 'sampler')>",10.639535427093506,2.531967,2827,13.171502427093506,0,11.999999999999996
69,<lib.graphlib.GraphLib object at 0x0000015262CB72A0>,4144,1.787363052368164,3788,0.06453061103820801,,,,,,,,,,,,,,,,,,1,
69,<lib.graphlib.GraphLib object at 0x00000152627876B0>,4212,1.4269652366638184,3923,0.05062389373779297,,,,,,,,,,,,,,,,,,2,
69,<lib.graphlib.GraphLib object at 0x00000152635B07D0>,4238,1.5357027053833008,3592,0.05074667930603027,,,,,,,,,,,,,,,,,,3,
69,<lib.graphlib.GraphLib object at 0x0000015262BAE210>,4282,1.5313622951507568,4006,0.04468226432800293,,,,,,,,,,,,,,,,,,4,
72,<lib.graphlib.GraphLib object at 0x0000015262BAE580>,4808,1.737553596496582,4599,0.07092905044555664,,,,,,,,,,,,,"<RuntimeJobV2('d45sj36jf4ms73ap46l0', 'sampler')>",12.666459560394287,2.598474,4072,15.264933560394287,0,11.999999999999996
72,<lib.graphlib.GraphLib object at 0x00000152627866C0>,4496,1.5010268688201904,4192,0.07523298263549805,,,,,,,,,,,,,,,,,,1,
72,<lib.graphlib.GraphLib object at 0x00000152629B15E0>,4551,1.5495693683624268,4157,0.05698895454406738,,,,,,,,,,,,,,,,,,2,
